cup,result,group,date,matchnum,away,home
2002 FIFA World Cup Korea/Japan ™,1-3,Group B,12 Jun 2002,Match 40,Paraguay,Slovenia
1994 FIFA World Cup USA ™,2-2,Quarter-finals,10 Jul 1994,Match 48,Sweden,Romania
1994 FIFA World Cup USA ™,1-2,Semi-finals,13 Jul 1994,Match 49,Italy,Bulgaria
1994 FIFA World Cup USA ™,0-1,Semi-finals,13 Jul 1994,Match 50,Brazil,Sweden
1994 FIFA World Cup USA ™,4-0,Match for third place,16 Jul 1994,Match 51,Bulgaria,Sweden
1994 FIFA World Cup USA ™,0-0,Final,17 Jul 1994,Match 52,Italy,Brazil
1986 FIFA World Cup Mexico ™,2-0,Group C,06 Jun 1986,Match 16,Canada,Hungary
1986 FIFA World Cup Mexico ™,1-0,Group D,06 Jun 1986,Match 17,Algeria,Brazil
1986 FIFA World Cup Mexico ™,0-0,Group F,06 Jun 1986,Match 18,Morocco,England
1986 FIFA World Cup Mexico ™,1-2,Group D,07 Jun 1986,Match 20,Spain,Northern Ireland
1998 FIFA World Cup France ™,1-1,Group B,23 Jun 1998,Match 36,Cameroon,Chile
1998 FIFA World Cup France ™,0-3,Group A,23 Jun 1998,Match 34,Morocco,Scotland
1998 FIFA World Cup France ™,1-2,Group A,23 Jun 1998,Match 35,Norway,Brazil
1998 FIFA World Cup France ™,2-1,Group C,24 Jun 1998,Match 38,Denmark,France
1998 FIFA World Cup France ™,2-2,Group C,24 Jun 1998,Match 40,Saudi Arabia,South Africa
1970 FIFA World Cup Mexico ™,2-0,Group 2,02 Jun 1970,Match 2,Israel,Uruguay
1970 FIFA World Cup Mexico ™,3-2,Group 4,02 Jun 1970,Match 4,Bulgaria,Peru
1970 FIFA World Cup Mexico ™,1-0,Group 3,02 Jun 1970,Match 3,Romania,England
1970 FIFA World Cup Mexico ™,1-0,Group 2,03 Jun 1970,Match 6,Sweden,Italy
1970 FIFA World Cup Mexico ™,2-1,Group 4,03 Jun 1970,Match 8,Morocco,Germany FR
1982 FIFA World Cup Spain ™,1-1,Group 4,17 Jun 1982,Match 11,Kuwait,Czechoslovakia
1982 FIFA World Cup Spain ™,0-0,Group 5,17 Jun 1982,Match 12,Northern Ireland,Yugoslavia
1982 FIFA World Cup Spain ™,1-1,Group 1,18 Jun 1982,Match 13,Peru,Italy
1982 FIFA World Cup Spain ™,4-1,Group 3,18 Jun 1982,Match 14,Hungary,Argentina
1954 FIFA World Cup Switzerland ™,1-0,Group 3,16 Jun 1954,Match 2,Scotland,Austria
1954 FIFA World Cup Switzerland ™,5-0,Group 1,16 Jun 1954,Match 3,Mexico,Brazil
1954 FIFA World Cup Switzerland ™,1-0,Group 1,16 Jun 1954,Match 4,France,Yugoslavia
1954 FIFA World Cup Switzerland ™,4-1,Group 2,17 Jun 1954,Match 5,Turkey,Germany FR
1954 FIFA World Cup Switzerland ™,9-0,Group 2,17 Jun 1954,Match 8,Korea Republic,Hungary
1974 FIFA World Cup Germany ™,0-0,Group 3,15 Jun 1974,Match 6,Bulgaria,Sweden
1974 FIFA World Cup Germany ™,3-1,Group 4,15 Jun 1974,Match 7,Haiti,Italy
1974 FIFA World Cup Germany ™,3-2,Group 4,15 Jun 1974,Match 8,Argentina,Poland
1974 FIFA World Cup Germany ™,0-3,Group 1,18 Jun 1974,Match 10,Germany FR,Australia
1974 FIFA World Cup Germany ™,0-0,Group 2,18 Jun 1974,Match 12,Brazil,Scotland
1966 FIFA World Cup England ™,5-0,Group 2,12 Jul 1966,Match 2,Switzerland,Germany FR
1966 FIFA World Cup England ™,2-0,Group 3,12 Jul 1966,Match 3,Bulgaria,Brazil
1966 FIFA World Cup England ™,3-0,Group 4,12 Jul 1966,Match 4,Korea DPR,Soviet Union
1966 FIFA World Cup England ™,1-1,Group 1,13 Jul 1966,Match 5,Mexico,France
2006 FIFA World Cup Germany ™,1-4,Group F,22 Jun 2006,Match 43,Brazil,Japan
2006 FIFA World Cup Germany ™,2-2,Group F,22 Jun 2006,Match 44,Australia,Croatia
2006 FIFA World Cup Germany ™,1-0,Group H,23 Jun 2006,Match 48,Tunisia,Ukraine
2006 FIFA World Cup Germany ™,0-1,Group H,23 Jun 2006,Match 47,Spain,Saudi Arabia
1962 FIFA World Cup Chile ™,2-0,Group 3,30 May 1962,Match 3,Mexico,Brazil
1962 FIFA World Cup Chile ™,1-0,Group 4,30 May 1962,Match 4,Bulgaria,Argentina
1962 FIFA World Cup Chile ™,3-1,Group 2,30 May 1962,Match 2,Switzerland,Chile
1962 FIFA World Cup Chile ™,2-0,Group 1,31 May 1962,Match 5,Yugoslavia,Soviet Union
1962 FIFA World Cup Chile ™,1-0,Group 3,31 May 1962,Match 7,Spain,Czechoslovakia
1958 FIFA World Cup Sweden ™,3-0,Group 4,08 Jun 1958,Match 6,Austria,Brazil
1958 FIFA World Cup Sweden ™,1-0,Group 1,08 Jun 1958,Match 8,Czechoslovakia,Northern Ireland
1958 FIFA World Cup Sweden ™,0-0,Group 4,11 Jun 1958,Match 12,England,Brazil
1958 FIFA World Cup Sweden ™,1-1,Group 3,11 Jun 1958,Match 9,Wales,Mexico
1958 FIFA World Cup Sweden ™,3-2,Group 2,11 Jun 1958,Match 10,Scotland,Paraguay
2002 FIFA World Cup Korea/Japan ™,2-3,Group B,12 Jun 2002,Match 39,Spain,South Africa
2002 FIFA World Cup Korea/Japan ™,2-5,Group C,13 Jun 2002,Match 41,Brazil,Costa Rica
2002 FIFA World Cup Korea/Japan ™,3-0,Group C,13 Jun 2002,Match 42,China PR,Turkey
2002 FIFA World Cup Korea/Japan ™,1-0,Group G,13 Jun 2002,Match 44,Croatia,Ecuador
1986 FIFA World Cup Mexico ™,1-1,Group B,07 Jun 1986,Match 19,Paraguay,Mexico
1986 FIFA World Cup Mexico ™,1-0,Group F,07 Jun 1986,Match 21,Portugal,Poland
1986 FIFA World Cup Mexico ™,1-2,Group B,08 Jun 1986,Match 22,Belgium,Iraq
1986 FIFA World Cup Mexico ™,6-1,Group E,08 Jun 1986,Match 24,Uruguay,Denmark
1986 FIFA World Cup Mexico ™,2-1,Group E,08 Jun 1986,Match 23,Scotland,Germany FR
1998 FIFA World Cup France ™,6-1,Group D,24 Jun 1998,Match 37,Bulgaria,Spain
1998 FIFA World Cup France ™,1-3,Group D,24 Jun 1998,Match 39,Paraguay,Nigeria
1998 FIFA World Cup France ™,1-1,Group E,25 Jun 1998,Match 41,Korea Republic,Belgium
1998 FIFA World Cup France ™,2-2,Group E,25 Jun 1998,Match 42,Mexico,Netherlands
1970 FIFA World Cup Mexico ™,4-1,Group 3,03 Jun 1970,Match 7,Czechoslovakia,Brazil
1970 FIFA World Cup Mexico ™,3-0,Group 1,03 Jun 1970,Match 5,El Salvador,Belgium
1970 FIFA World Cup Mexico ™,0-0,Group 2,06 Jun 1970,Match 10,Italy,Uruguay
1970 FIFA World Cup Mexico ™,3-0,Group 4,06 Jun 1970,Match 12,Morocco,Peru
1982 FIFA World Cup Spain ™,4-1,Group 6,18 Jun 1982,Match 15,Scotland,Brazil
1982 FIFA World Cup Spain ™,0-0,Group 1,19 Jun 1982,Match 16,Cameroon,Poland
1982 FIFA World Cup Spain ™,1-0,Group 3,19 Jun 1982,Match 17,El Salvador,Belgium
1982 FIFA World Cup Spain ™,3-0,Group 6,19 Jun 1982,Match 18,New Zealand,Soviet Union
1954 FIFA World Cup Switzerland ™,4-4,Group 4,17 Jun 1954,Match 6,Belgium,England
1954 FIFA World Cup Switzerland ™,2-1,Group 4,17 Jun 1954,Match 7,Italy,Switzerland
1954 FIFA World Cup Switzerland ™,7-0,Group 3,19 Jun 1954,Match 12,Scotland,Uruguay
1954 FIFA World Cup Switzerland ™,5-0,Group 3,19 Jun 1954,Match 9,Czechoslovakia,Austria
1974 FIFA World Cup Germany ™,1-1,Group 1,18 Jun 1974,Match 9,German DR,Chile
1974 FIFA World Cup Germany ™,9-0,Group 2,18 Jun 1974,Match 11,Zaire,Yugoslavia
1974 FIFA World Cup Germany ™,0-0,Group 3,19 Jun 1974,Match 13,Sweden,Netherlands
1974 FIFA World Cup Germany ™,1-1,Group 3,19 Jun 1974,Match 14,Uruguay,Bulgaria
1966 FIFA World Cup England ™,3-1,Group 3,13 Jul 1966,Match 7,Hungary,Portugal
1966 FIFA World Cup England ™,2-1,Group 2,13 Jul 1966,Match 6,Spain,Argentina
1966 FIFA World Cup England ™,2-0,Group 4,13 Jul 1966,Match 8,Chile,Italy
1966 FIFA World Cup England ™,2-1,Group 1,15 Jul 1966,Match 9,France,Uruguay
2006 FIFA World Cup Germany ™,0-2,Group G,23 Jun 2006,Match 45,France,Togo
2006 FIFA World Cup Germany ™,2-0,Group G,23 Jun 2006,Match 46,Korea Republic,Switzerland
2006 FIFA World Cup Germany ™,2-0,Round of 16,24 Jun 2006,Match 49,Sweden,Germany
2006 FIFA World Cup Germany ™,2-1,Round of 16,24 Jun 2006,Match 50,Mexico,Argentina
2006 FIFA World Cup Germany ™,1-0,Round of 16,25 Jun 2006,Match 51,Ecuador,England
1962 FIFA World Cup Chile ™,2-1,Group 4,31 May 1962,Match 8,England,Hungary
1962 FIFA World Cup Chile ™,0-0,Group 2,31 May 1962,Match 6,Italy,Germany FR
1962 FIFA World Cup Chile ™,3-1,Group 1,02 Jun 1962,Match 9,Uruguay,Yugoslavia
1962 FIFA World Cup Chile ™,0-0,Group 3,02 Jun 1962,Match 11,Czechoslovakia,Brazil
1962 FIFA World Cup Chile ™,3-1,Group 4,02 Jun 1962,Match 12,Argentina,England
1958 FIFA World Cup Sweden ™,3-2,Group 2,11 Jun 1958,Match 11,France,Yugoslavia
1958 FIFA World Cup Sweden ™,2-0,Group 4,11 Jun 1958,Match 13,Austria,Soviet Union
1958 FIFA World Cup Sweden ™,2-2,Group 1,11 Jun 1958,Match 14,Czechoslovakia,Germany FR
1958 FIFA World Cup Sweden ™,3-1,Group 1,11 Jun 1958,Match 15,Northern Ireland,Argentina
2002 FIFA World Cup Korea/Japan ™,1-1,Group G,13 Jun 2002,Match 43,Italy,Mexico
2002 FIFA World Cup Korea/Japan ™,0-2,Group H,14 Jun 2002,Match 45,Japan,Tunisia
2002 FIFA World Cup Korea/Japan ™,0-1,Group D,14 Jun 2002,Match 47,Korea Republic,Portugal
2002 FIFA World Cup Korea/Japan ™,3-1,Group D,14 Jun 2002,Match 48,USA,Poland
1986 FIFA World Cup Mexico ™,0-3,Group C,09 Jun 1986,Match 25,France,Hungary
1986 FIFA World Cup Mexico ™,2-0,Group C,09 Jun 1986,Match 26,Canada,Soviet Union
1986 FIFA World Cup Mexico ™,2-3,Group A,10 Jun 1986,Match 27,Italy,Korea Republic
1986 FIFA World Cup Mexico ™,2-0,Group A,10 Jun 1986,Match 28,Bulgaria,Argentina
1986 FIFA World Cup Mexico ™,2-2,Group B,11 Jun 1986,Match 30,Belgium,Paraguay
1998 FIFA World Cup France ™,2-0,Group F,25 Jun 1998,Match 43,Iran,Germany
1998 FIFA World Cup France ™,0-1,Group F,25 Jun 1998,Match 44,Yugoslavia,USA
1998 FIFA World Cup France ™,1-2,Group H,26 Jun 1998,Match 47,Jamaica,Japan
1998 FIFA World Cup France ™,1-0,Group H,26 Jun 1998,Match 48,Croatia,Argentina
1998 FIFA World Cup France ™,1-1,Group G,26 Jun 1998,Match 45,Tunisia,Romania
1970 FIFA World Cup Mexico ™,2-1,Group 3,06 Jun 1970,Match 11,Czechoslovakia,Romania
1970 FIFA World Cup Mexico ™,4-1,Group 1,06 Jun 1970,Match 9,Belgium,Soviet Union
1970 FIFA World Cup Mexico ™,1-1,Group 2,07 Jun 1970,Match 14,Israel,Sweden
1970 FIFA World Cup Mexico ™,5-2,Group 4,07 Jun 1970,Match 16,Bulgaria,Germany FR
1982 FIFA World Cup Spain ™,4-1,Group 2,20 Jun 1982,Match 19,Chile,Germany FR
1982 FIFA World Cup Spain ™,2-0,Group 4,20 Jun 1982,Match 20,Czechoslovakia,England
1982 FIFA World Cup Spain ™,2-1,Group 5,20 Jun 1982,Match 21,Yugoslavia,Spain
1982 FIFA World Cup Spain ™,0-2,Group 2,21 Jun 1982,Match 22,Austria,Algeria
1982 FIFA World Cup Spain ™,4-1,Group 4,21 Jun 1982,Match 23,Kuwait,France
1954 FIFA World Cup Switzerland ™,3-2,Group 1,19 Jun 1954,Match 11,Mexico,France
1954 FIFA World Cup Switzerland ™,1-1,Group 1,19 Jun 1954,Match 10,Yugoslavia,Brazil
1954 FIFA World Cup Switzerland ™,8-3,Group 2,20 Jun 1954,Match 14,Germany FR,Hungary
1954 FIFA World Cup Switzerland ™,7-0,Group 2,20 Jun 1954,Match 15,Korea Republic,Turkey
1954 FIFA World Cup Switzerland ™,2-0,Group 4,20 Jun 1954,Match 13,Switzerland,England
1974 FIFA World Cup Germany ™,0-7,Group 4,19 Jun 1974,Match 15,Poland,Haiti
1974 FIFA World Cup Germany ™,1-1,Group 4,19 Jun 1974,Match 16,Italy,Argentina
1974 FIFA World Cup Germany ™,1-1,Group 2,22 Jun 1974,Match 19,Yugoslavia,Scotland
1974 FIFA World Cup Germany ™,0-0,Group 1,22 Jun 1974,Match 17,Chile,Australia
1974 FIFA World Cup Germany ™,0-3,Group 2,22 Jun 1974,Match 20,Brazil,Zaire
1950 FIFA World Cup Brazil ™,4-0,Group 1,24 Jun 1950,Match 1,Mexico,Brazil
1966 FIFA World Cup England ™,2-1,Group 2,15 Jul 1966,Match 10,Switzerland,Spain
1966 FIFA World Cup England ™,3-1,Group 3,15 Jul 1966,Match 11,Brazil,Hungary
1966 FIFA World Cup England ™,1-1,Group 4,15 Jul 1966,Match 12,Chile,Korea DPR
1966 FIFA World Cup England ™,3-0,Group 3,16 Jul 1966,Match 15,Bulgaria,Portugal
1966 FIFA World Cup England ™,0-0,Group 2,16 Jul 1966,Match 14,Argentina,Germany FR
1938 FIFA World Cup France ™,1-1,First round,04 Jun 1938,Match 1,Germany,Switzerland
2006 FIFA World Cup Germany ™,1-0,Round of 16,25 Jun 2006,Match 52,Netherlands,Portugal
2006 FIFA World Cup Germany ™,1-0,Round of 16,26 Jun 2006,Match 53,Australia,Italy
2006 FIFA World Cup Germany ™,0-0,Round of 16,26 Jun 2006,Match 54,Ukraine,Switzerland
2006 FIFA World Cup Germany ™,3-0,Round of 16,27 Jun 2006,Match 55,Ghana,Brazil
2006 FIFA World Cup Germany ™,1-3,Round of 16,27 Jun 2006,Match 56,France,Spain
1962 FIFA World Cup Chile ™,2-0,Group 2,02 Jun 1962,Match 10,Italy,Chile
1962 FIFA World Cup Chile ™,4-4,Group 1,03 Jun 1962,Match 13,Colombia,Soviet Union
1962 FIFA World Cup Chile ™,1-0,Group 3,03 Jun 1962,Match 15,Mexico,Spain
1962 FIFA World Cup Chile ™,6-1,Group 4,03 Jun 1962,Match 16,Bulgaria,Hungary
1962 FIFA World Cup Chile ™,2-1,Group 2,03 Jun 1962,Match 14,Switzerland,Germany FR
1958 FIFA World Cup Sweden ™,2-1,Group 3,12 Jun 1958,Match 16,Hungary,Sweden
1958 FIFA World Cup Sweden ™,0-0,Group 3,15 Jun 1958,Match 17,Wales,Sweden
1958 FIFA World Cup Sweden ™,2-0,Group 4,15 Jun 1958,Match 21,Soviet Union,Brazil
1958 FIFA World Cup Sweden ™,2-2,Group 1,15 Jun 1958,Match 23,Northern Ireland,Germany FR
2002 FIFA World Cup Korea/Japan ™,3-2,Group H,14 Jun 2002,Match 46,Russia,Belgium
2002 FIFA World Cup Korea/Japan ™,0-3,Round of 16,15 Jun 2002,Match 50,England,Denmark
2002 FIFA World Cup Korea/Japan ™,1-0,Round of 16,15 Jun 2002,Match 49,Paraguay,Germany
2002 FIFA World Cup Korea/Japan ™,1-1,Round of 16,16 Jun 2002,Match 52,Republic of Ireland,Spain
2002 FIFA World Cup Korea/Japan ™,1-2,Round of 16,16 Jun 2002,Match 51,Senegal,Sweden
1986 FIFA World Cup Mexico ™,0-1,Group B,11 Jun 1986,Match 29,Mexico,Iraq
1986 FIFA World Cup Mexico ™,1-3,Group F,11 Jun 1986,Match 31,Morocco,Portugal
1986 FIFA World Cup Mexico ™,3-0,Group F,11 Jun 1986,Match 32,Poland,England
1986 FIFA World Cup Mexico ™,0-3,Group D,12 Jun 1986,Match 33,Brazil,Northern Ireland
1986 FIFA World Cup Mexico ™,0-3,Group D,12 Jun 1986,Match 34,Spain,Algeria
1998 FIFA World Cup France ™,0-2,Group G,26 Jun 1998,Match 46,England,Colombia
1998 FIFA World Cup France ™,1-0,Round of 16,27 Jun 1998,Match 50,Norway,Italy
1998 FIFA World Cup France ™,4-1,Round of 16,27 Jun 1998,Match 49,Chile,Brazil
1998 FIFA World Cup France ™,1-0,Round of 16,28 Jun 1998,Match 52,Paraguay,France
1998 FIFA World Cup France ™,1-4,Round of 16,28 Jun 1998,Match 51,Denmark,Nigeria
1970 FIFA World Cup Mexico ™,1-0,Group 3,07 Jun 1970,Match 15,England,Brazil
1970 FIFA World Cup Mexico ™,4-0,Group 1,07 Jun 1970,Match 13,El Salvador,Mexico
1970 FIFA World Cup Mexico ™,1-0,Group 2,10 Jun 1970,Match 18,Uruguay,Sweden
1970 FIFA World Cup Mexico ™,3-1,Group 4,10 Jun 1970,Match 20,Peru,Germany FR
1970 FIFA World Cup Mexico ™,3-2,Group 3,10 Jun 1970,Match 19,Romania,Brazil
1982 FIFA World Cup Spain ™,1-1,Group 5,21 Jun 1982,Match 24,Northern Ireland,Honduras
1982 FIFA World Cup Spain ™,5-1,Group 1,22 Jun 1982,Match 25,Peru,Poland
1982 FIFA World Cup Spain ™,1-1,Group 3,22 Jun 1982,Match 26,Hungary,Belgium
1982 FIFA World Cup Spain ™,2-2,Group 6,22 Jun 1982,Match 27,Scotland,Soviet Union
1982 FIFA World Cup Spain ™,1-1,Group 1,23 Jun 1982,Match 28,Cameroon,Italy
1954 FIFA World Cup Switzerland ™,4-1,Group 4,20 Jun 1954,Match 16,Belgium,Italy
1954 FIFA World Cup Switzerland ™,7-2,Group 2,23 Jun 1954,Match 0,Turkey,Germany FR
1954 FIFA World Cup Switzerland ™,4-1,Group 4,23 Jun 1954,Match 211,Italy,Switzerland
1954 FIFA World Cup Switzerland ™,4-2,Quarter-finals,26 Jun 1954,Match 20,England,Uruguay
1954 FIFA World Cup Switzerland ™,7-5,Quarter-finals,26 Jun 1954,Match 19,Switzerland,Austria
1974 FIFA World Cup Germany ™,1-0,Group 1,22 Jun 1974,Match 18,Germany FR,German DR
1974 FIFA World Cup Germany ™,1-4,Group 3,23 Jun 1974,Match 21,Netherlands,Bulgaria
1974 FIFA World Cup Germany ™,4-1,Group 4,23 Jun 1974,Match 23,Haiti,Argentina
1974 FIFA World Cup Germany ™,3-0,Group 3,23 Jun 1974,Match 22,Uruguay,Sweden
1950 FIFA World Cup Brazil ™,2-0,Group 2,25 Jun 1950,Match 2,Chile,England
1950 FIFA World Cup Brazil ™,3-1,Group 2,25 Jun 1950,Match 3,USA,Spain
1950 FIFA World Cup Brazil ™,3-2,Group 3,25 Jun 1950,Match 4,Italy,Sweden
1950 FIFA World Cup Brazil ™,3-0,Group 1,25 Jun 1950,Match 5,Switzerland,Yugoslavia
1934 FIFA World Cup Italy ™,3-2,Preliminary round,27 May 1934,Match 2,France,Austria
1930 FIFA World Cup Uruguay ™,4-1,Group 1,13 Jul 1930,Match 1,Mexico,France
1966 FIFA World Cup England ™,1-0,Group 4,16 Jul 1966,Match 16,Italy,Soviet Union
1966 FIFA World Cup England ™,2-0,Group 1,16 Jul 1966,Match 13,Mexico,England
1966 FIFA World Cup England ™,0-0,Group 1,19 Jul 1966,Match 17,Mexico,Uruguay
1966 FIFA World Cup England ™,2-0,Group 2,19 Jul 1966,Match 18,Switzerland,Argentina
1966 FIFA World Cup England ™,3-1,Group 3,19 Jul 1966,Match 19,Brazil,Portugal
1938 FIFA World Cup France ™,6-0,First round,05 Jun 1938,Match 2,Dutch East Indies,Hungary
1938 FIFA World Cup France ™,3-1,First round,05 Jun 1938,Match 3,Belgium,France
1938 FIFA World Cup France ™,3-3,First round,05 Jun 1938,Match 4,Romania,Cuba
1938 FIFA World Cup France ™,2-1,First round,05 Jun 1938,Match 5,Norway,Italy
1938 FIFA World Cup France ™,6-5,First round,05 Jun 1938,Match 6,Poland,Brazil
2006 FIFA World Cup Germany ™,1-1,Quarter-finals,30 Jun 2006,Match 57,Argentina,Germany
2006 FIFA World Cup Germany ™,3-0,Quarter-finals,30 Jun 2006,Match 58,Ukraine,Italy
2006 FIFA World Cup Germany ™,0-0,Quarter-finals,01 Jul 2006,Match 59,Portugal,England
2006 FIFA World Cup Germany ™,0-1,Quarter-finals,01 Jul 2006,Match 60,France,Brazil
1962 FIFA World Cup Chile ™,2-1,Group 1,06 Jun 1962,Match 17,Uruguay,Soviet Union
1962 FIFA World Cup Chile ™,2-1,Group 3,06 Jun 1962,Match 19,Spain,Brazil
1962 FIFA World Cup Chile ™,0-0,Group 4,06 Jun 1962,Match 20,Argentina,Hungary
1962 FIFA World Cup Chile ™,2-0,Group 2,06 Jun 1962,Match 18,Chile,Germany FR
